acquisitions_id,acquiring_object_id,acquired_object_id,price_amount,price_currency_code,aquired_at
1,c:11,c:10,20000000,USD,2007-05-30
7,c:59,c:72,60000000,USD,2007-07-01
8,c:24,c:132,280000000,USD,2007-05-01
9,c:59,c:155,100000000,USD,2007-06-01
10,c:212,c:215,25000000,USD,2007-07-01
11,c:227,c:228,7140000,USD,2003-08-05
12,c:5,c:230,\N,USD,2007-07-01
14,c:318,c:314,\N,USD,2006-10-01
15,c:20,c:333,1500000000,USD,2002-07-08
16,c:342,c:341,350000000,USD,2007-08-01
17,c:24,c:347,5000000,USD,2007-05-01
18,c:349,c:348,13000000,USD,2007-03-01
19,c:355,c:354,300000000,USD,2005-04-01
20,c:377,c:100,\N,USD,2005-05-29
22,c:351,c:366,40000000,USD,2006-08-14
23,c:307,c:306,\N,USD,2007-08-07
24,c:212,c:394,4100000,USD,2007-08-01
26,c:499,c:495,25000,USD,2007-07-01
27,c:29,c:528,1000000000,USD,2005-08-11
28,c:29,c:530,160000000,USD,2004-09-01
29,c:541,c:52,327000000,USD,2007-02-01
30,c:541,c:542,\N,USD,2006-01-01
31,c:568,c:201,15000000,USD,2007-04-01
32,c:570,c:569,560000000,USD,2005-06-01
33,c:20,c:571,620000000,USD,2005-06-02
34,c:317,c:572,\N,USD,2007-05-01
35,c:573,c:574,1008000000,USD,2005-07-01
36,c:583,c:581,1250000000,USD,2004-11-01
37,c:584,c:585,128000000,USD,2004-11-12
38,c:590,c:588,\N,USD,2004-11-01
39,c:25,c:592,64000000,USD,2004-12-01
40,c:595,c:594,200000000,USD,2004-10-01
42,c:351,c:599,435000000,USD,2004-08-01
45,c:606,c:605,171600000,USD,2004-06-01
46,c:622,c:621,\N,USD,2001-06-01
47,c:629,c:628,\N,USD,2007-05-01
48,c:25,c:652,\N,USD,2006-08-01
50,c:25,c:655,102000000,USD,2006-04-01
51,c:657,c:653,8700000,USD,2006-03-01
52,c:94,c:658,600000000,USD,2006-03-01
53,c:660,c:663,64300000,USD,2005-12-01
54,c:13171,c:651,90000000,USD,2007-08-01
55,c:665,c:666,255700000,USD,2005-12-01
56,c:11,c:667,700000000,USD,2005-09-01
59,c:20,c:671,48300000,USD,2006-04-01
60,c:674,c:675,13000000,USD,2006-05-30
61,c:59,c:678,102000000,USD,2006-01-01
63,c:20,c:681,\N,USD,2007-04-01
64,c:694,c:693,\N,USD,2007-05-17
65,c:146,c:698,\N,USD,2007-08-01
66,c:59,c:708,\N,USD,2007-05-29
67,c:156,c:718,\N,USD,2007-08-01
69,c:754,c:752,43000000,USD,2005-08-01
70,c:629,c:807,42000000,USD,2007-06-01
71,c:351,c:648,275000000,USD,2007-07-24
72,c:823,c:822,96800000,USD,2007-07-01
73,c:826,c:825,\N,USD,2007-07-01
74,c:838,c:837,425000000,USD,2005-09-01
75,c:840,c:841,132000000,USD,2005-08-01
76,c:840,c:758,140500000,USD,2005-06-01
77,c:845,c:844,56000000,USD,2006-09-01
79,c:851,c:850,673600000,USD,2005-12-01
81,c:848,c:854,270000000,USD,2005-01-01
84,c:988,c:551,380000000,USD,2007-09-24
85,c:29,c:997,350000000,USD,2007-09-01
86,c:29,c:529,475000000,EUR,2004-03-26
87,c:1035,c:175,\N,USD,2007-10-01
88,c:59,c:114,12000000,USD,2007-10-09
89,c:45,c:192,18000000,USD,2007-08-01
90,c:24,c:1059,20000000,USD,2007-10-01
91,c:1246,c:596,45000000,USD,2007-10-01
92,c:1247,c:596,82000000,USD,\N
93,c:596,c:596,2500000,USD,2002-01-01
95,c:29,c:145,\N,USD,2005-03-01
96,c:29,c:1238,1000000,USD,2005-10-05
97,c:351,c:1214,363000000,USD,2007-11-07
98,c:29,c:487,300000000,USD,2007-09-04
99,c:489,c:1288,30000000,USD,2007-08-01
100,c:1335,c:1334,25000000,USD,2007-11-01
101,c:1336,c:1337,394000000,USD,2007-10-01
103,c:1340,c:1341,52000000,USD,2007-10-01
104,c:1354,c:1353,250000000,USD,2007-10-01
106,c:845,c:3686,20000000,USD,2007-09-01
109,c:1081,c:1398,\N,USD,2007-10-01
112,c:629,c:1413,50000000,USD,2006-02-01
113,c:590,c:1422,\N,USD,2007-11-01
115,c:396,c:1582,\N,USD,2007-12-01
116,c:350,c:1611,50000000,USD,1999-06-01
117,c:350,c:1606,\N,USD,2006-08-15
118,c:1385,c:1384,10000000,USD,2005-02-01
119,c:1645,c:126,180000000,USD,2007-12-01
120,c:351,c:1703,\N,CAD,2006-01-10
121,c:1242,c:1722,50000000,USD,2007-10-03
122,c:1727,c:1726,120000000,USD,2008-01-01
123,c:1438,c:1744,15000000,USD,2008-01-01
124,c:1504,c:1771,100000000,USD,2008-01-01
125,c:479,c:731,1000000000,USD,2008-01-01
126,c:185,c:1806,265000000,USD,2008-01-01
127,c:350,c:1385,1850000000,USD,2005-07-01
129,c:1878,c:1877,10000000,USD,2008-01-01
130,c:1896,c:907,\N,USD,2008-01-01
132,c:59,c:49,\N,USD,2006-10-31
134,c:1444,c:1409,20000000,USD,2007-11-01
135,c:317,c:1927,250000000,USD,1999-05-01
136,c:608,c:1925,11000000,USD,2007-12-06
137,c:1735,c:602,93700000,USD,2004-05-01
138,c:1735,c:604,86000000,USD,2004-04-01
139,c:1735,c:1834,61000000,USD,2008-01-04
140,c:2042,c:2047,\N,USD,2005-11-07
141,c:2042,c:2048,\N,USD,2007-07-16
142,c:2042,c:2049,150000,USD,2007-10-01
143,c:2050,c:92,29000000,USD,2008-02-08
144,c:2050,c:2071,\N,USD,2007-08-01
145,c:2050,c:2072,\N,USD,2007-08-30
146,c:1336,c:2101,65000000,USD,2007-12-13
147,c:1336,c:2102,51500000,USD,2007-03-01
148,c:2050,c:2108,\N,USD,2007-08-01
149,c:29,c:2149,160000000,USD,2008-01-31
150,c:725,c:427,\N,,2008-01-28
151,c:59,c:7606,\N,USD,2006-04-09
152,c:59,c:2181,\N,USD,2003-04-01
153,c:725,c:434,\N,,2008-02-01
154,c:489,c:2252,10000000,USD,2006-01-01
155,c:489,c:2253,\N,USD,2006-01-01
156,c:2272,c:2273,\N,,2007-12-01
157,c:851,c:2270,125000000,USD,1997-07-28
158,c:489,c:2274,5000000,USD,2006-01-01
159,c:2275,c:2276,\N,USD,2008-02-07
160,c:2312,c:2313,\N,USD,2005-02-01
161,c:2312,c:2314,\N,USD,2005-02-01
162,c:2312,c:2315,\N,USD,2005-02-01
163,c:2312,c:2316,\N,USD,2005-02-01
164,c:2312,c:2317,\N,USD,2005-02-01
168,c:2312,c:171732,\N,USD,2007-05-01
169,c:2312,c:2322,\N,USD,2007-09-01
170,c:2358,c:402,5000000,USD,2008-02-14
171,c:1242,c:2372,500000000,USD,2008-02-11
172,c:2381,c:2382,\N,,2006-10-24
173,c:1242,c:2428,\N,USD,2008-01-21
175,c:1385,c:2501,4000000,USD,2001-09-01
176,c:1385,c:2502,500000000,USD,2000-02-01
177,c:20,c:2507,310000000,USD,2007-01-10
178,c:2602,c:2603,155000000,USD,2008-02-13
179,c:2618,c:2619,\N,USD,2007-05-01
180,c:608,c:2664,4500000,USD,2007-11-01
181,c:258,c:413,\N,USD,2008-02-20
182,c:2720,c:2723,\N,USD,2008-02-28
183,c:29,c:2731,850000000,USD,2007-04-01
185,c:2756,c:2757,\N,USD,2008-02-28
186,c:2758,c:2756,634000000,USD,2007-04-12
187,c:2778,c:400,\N,USD,2008-03-03
188,c:191,c:2793,\N,USD,2008-03-03
189,c:2175,c:2820,\N,USD,2004-03-04
190,c:2175,c:483,240000000,USD,2007-04-19
191,c:2175,c:680,485000000,USD,2005-12-14
192,c:2175,c:2821,85000000,GBP,2006-01-26
193,c:2175,c:2822,330000000,USD,2005-05-05
194,c:760,c:524,75000000,USD,2008-03-04
195,c:2857,c:2856,\N,USD,2007-10-23
196,c:2881,c:2880,15000000,USD,2008-03-01
197,c:45,c:1361,100000000,USD,2007-09-01
198,c:185,c:1216,\N,USD,2001-03-09
199,c:350,c:185,\N,USD,2003-01-01
201,c:966,c:2955,\N,USD,2008-02-21
202,c:1242,c:2954,\N,USD,2008-03-08
203,c:1873,c:2960,\N,USD,2008-01-28
204,c:1516,c:2961,\N,USD,2006-03-01
207,c:3063,c:1285,150000000,USD,2008-03-03
209,c:59,c:2195,3100000000,USD,2008-03-11
211,c:3104,c:3102,500000000,USD,2007-12-11
212,c:1242,c:3135,\N,USD,2008-03-12
213,c:351,c:142,850000000,USD,2008-03-13
214,c:3165,c:3164,7500000,USD,2004-10-01
215,c:29,c:3209,10000000,USD,2007-01-09
216,c:351,c:1278,\N,USD,2007-11-11
217,c:351,c:492,\N,USD,2008-02-03
218,c:1242,c:2676,25000000,USD,2010-08-13
220,c:1242,c:3216,\N,USD,2008-03-14
221,c:1242,c:3218,6400000000,USD,2007-05-18
222,c:351,c:613,\N,USD,2007-05-01
223,c:351,c:3219,\N,USD,2007-05-16
224,c:351,c:2046,\N,USD,2005-10-16
225,c:351,c:3220,\N,USD,2006-05-01
227,c:3253,c:3252,45000000,USD,2008-03-10
228,c:351,c:3257,125000000,USD,2008-02-01
229,c:3307,c:3306,\N,USD,2007-12-01
230,c:3316,c:3315,800000000,USD,2008-03-17
231,c:2537,c:3535,170000000,USD,2008-01-01
233,c:694,c:3531,\N,USD,2008-03-01
234,c:694,c:3579,\N,USD,2007-06-01
235,c:45,c:2686,\N,USD,2008-03-25
236,c:3619,c:827,5000000,USD,2008-04-01
237,c:3649,c:3648,25000000,USD,2008-03-01
238,c:3674,c:3673,\N,USD,2007-01-01
239,c:200,c:3138,\N,USD,2008-04-01
240,c:29,c:3963,40000000,USD,2008-02-04
242,c:757,c:3996,\N,USD,2008-04-01
244,c:4010,c:4007,45000000,USD,2008-04-07
245,c:4060,c:4060,\N,USD,2007-10-01
247,c:4199,c:4197,\N,USD,2007-06-18
248,c:4247,c:4239,\N,USD,2006-01-01
249,c:308,c:4249,\N,USD,2008-04-10
250,c:3167,c:533,200000000,USD,2006-08-01
251,c:966,c:4270,213000000,USD,2008-04-08
252,c:4272,c:4279,\N,USD,2008-04-10
254,c:2358,c:135,3000000,USD,2008-04-13
255,c:351,c:105,25000000,USD,2008-04-01
256,c:1242,c:128,115000000,USD,2008-04-17
257,c:445,c:4547,\N,USD,2008-04-20
258,c:29,c:4632,\N,USD,2006-10-02
259,c:3754,c:4636,4750000,USD,2003-01-22
262,c:304,c:4633,260000000,USD,2008-04-22
263,c:59,c:4731,50000000,USD,2012-06-27
265,c:3828,c:217,\N,USD,2007-12-01
267,c:4797,c:4794,300000000,USD,2008-04-28
268,c:4804,c:522,6000000,USD,2008-04-29
270,c:4818,c:196,\N,USD,2008-01-30
271,c:3827,c:4819,35000000000,USD,2005-08-15
272,c:2680,c:4822,5850000000,USD,2006-01-31
273,c:59,c:4831,\N,USD,2006-02-14
274,c:4845,c:4846,50000000,USD,2008-04-30
275,c:46,c:1543,\N,USD,2008-04-29
