object_id,funded_at,funding_round_type,raised_amount_usd,participants,office_id,region,zip_code,state_code
c:4,2006-12-01,series-b,8500000,2,4,SF Bay,94107,CA
c:5,2004-09-01,angel,500000,2,5,SF Bay,94025,CA
c:5,2004-09-01,angel,500000,2,10886,New York,10017,NY
c:5,2005-05-01,series-a,12700000,3,5,SF Bay,94025,CA
c:5,2005-05-01,series-a,12700000,3,10886,New York,10017,NY
c:5,2006-04-01,series-b,27500000,4,5,SF Bay,94025,CA
c:5,2006-04-01,series-b,27500000,4,10886,New York,10017,NY
c:7299,2006-05-01,series-b,10500000,2,5691,Denver,80205,CO
c:9,2007-01-01,series-a,1500000,1,9,Los Angeles,90069,CA
c:9,2007-03-01,series-b,10000000,1,9,Los Angeles,90069,CA
c:14,2007-05-01,series-a,6300000,2,14,SF Bay,\N,CA
c:15,2006-06-01,angel,12000,1,15,SF Bay,94107,CA
c:15,2007-01-01,angel,40000,1,15,SF Bay,94107,CA
c:16,2007-06-01,series-b,40000000,4,16,San Diego,92127,CA
c:16,2007-06-01,series-a,13500000,3,16,San Diego,92127,CA
c:15,2007-06-01,series-a,3710000,6,15,SF Bay,94107,CA
c:18,2007-01-01,series-b,5700000,2,17,SF Bay,94301,CA
c:22,2007-06-01,series-a,1500000,1,21,New York,,NY
c:23,2007-05-09,series-a,45000000,3,22,New York,10011-6903,NY
c:27,2002-11-01,series-a,3800000,2,26,SF Bay,94089,CA
c:27,2003-07-01,series-b,8500000,3,26,SF Bay,94089,CA
c:30,2007-06-01,series-a,12500000,5,29,SF Bay,94107,CA
c:31,2006-06-01,series-c+,10520000,3,30,SF Bay,94108,CA
c:31,2004-09-01,series-b,6500000,1,30,SF Bay,94108,CA
c:34,2006-05-01,series-a,2500000,2,33,Washington DC,22182,VA
c:34,2006-05-01,series-a,2500000,2,5512,New York,10012,NY
c:34,2006-05-01,series-a,2500000,2,5514,Los Angeles,90232,CA
c:34,2007-02-01,series-b,5500000,6,33,Washington DC,22182,VA
c:34,2007-02-01,series-b,5500000,6,5512,New York,10012,NY
c:34,2007-02-01,series-b,5500000,6,5514,Los Angeles,90232,CA
c:27,2004-04-01,series-c+,7000000,4,26,SF Bay,94089,CA
c:27,2007-02-01,series-c+,9000000,1,26,SF Bay,94089,CA
c:35,2007-06-01,series-a,5000000,4,34,Los Angeles,91101,CA
c:38,2007-07-01,series-a,2250000,4,37,SF Bay,94102,CA
c:40,2006-04-01,series-b,12500000,4,39,San Diego,92121,CA
c:40,2007-08-01,series-c+,25000000,5,39,San Diego,92121,CA
c:43,2007-06-01,angel,1000000,2,42,Austin,\N,TX
c:44,2006-10-01,series-c+,30000000,2,43,New York,10016,NY
c:44,2005-12-01,series-a,5000000,3,43,New York,10016,NY
c:44,2006-04-01,series-b,26000000,1,43,New York,10016,NY
c:53,2007-05-01,series-b,6850000,1,52,Phoenix,85281,AZ
c:53,2006-10-01,series-a,6000000,1,52,Phoenix,85281,AZ
c:54,2007-02-01,angel,700000,1,53,SF Bay,94104,CA
c:54,2007-06-01,series-a,4000000,2,53,SF Bay,94104,CA
c:58,2007-06-01,series-c+,20000000,5,57,SF Bay,94105,CA
c:58,2005-04-01,series-a,7500000,2,57,SF Bay,94105,CA
c:58,2006-02-01,series-b,12500000,4,57,SF Bay,94105,CA
c:55,2006-07-01,series-b,7000000,6,54,California - Other,,CA
c:69,2007-02-15,series-a,1500000,1,68,New York,10013,NY
c:72,2006-01-01,series-a,4000000,1,70,SF Bay,94538,CA
c:1896,2007-01-01,series-a,900000,1,1860,Denver,80302,CO
c:1896,2007-06-01,series-b,3300000,3,1860,Denver,80302,CO
c:78,2006-11-01,series-b,15000000,3,75,SF Bay,94301,CA
c:78,2005-03-01,series-a,\N,3,75,SF Bay,94301,CA
c:80,2005-08-01,series-b,19500000,3,77,Seattle,98121,WA
c:80,2006-07-01,series-c+,18000000,4,77,Seattle,98121,WA
c:80,2005-01-01,series-a,8000000,2,77,Seattle,98121,WA
c:82,2006-09-01,series-a,1000000,2,79,SF Bay,94107,CA
c:82,2007-06-01,series-b,8000000,1,79,SF Bay,94107,CA
c:84,2006-06-01,series-a,5000000,2,81,SF Bay,94403,CA
c:84,2007-04-01,series-b,20000000,2,81,SF Bay,94403,CA
c:86,2007-01-01,series-a,13000000,2,83,SF Bay,94041,CA
c:87,2007-01-01,angel,100000,0,84,California - Other,\N,CA
c:89,2006-12-01,series-a,7000000,2,86,SCHUYLER LAKE,13457,NY
c:90,2007-01-01,series-a,4000000,2,87,SF Bay,94010,CA
c:91,2007-01-01,series-a,4250000,3,88,Los Angeles,91436,CA
c:93,2007-04-01,series-a,3100000,3,90,SF Bay,94107,CA
c:85,2006-10-01,series-a,5000000,1,82,SF Bay,94104,CA
c:85,2007-06-01,series-b,10000000,1,82,SF Bay,94104,CA
c:63,2005-11-01,series-a,3500000,1,62,SF Bay,94066,CA
c:63,2006-04-01,series-b,8000000,1,62,SF Bay,94066,CA
c:7299,2005-03-01,series-a,3000000,1,5691,Denver,80205,CO
c:60,2007-05-01,series-c+,20000000,2,59,SF Bay,94043,CA
c:73,2006-02-01,series-a,6000000,1,71,San Diego,\N,CA
c:96,2007-02-27,series-b,7000000,4,93,Boston,\N,MA
